Restaurants and Other Eating Places,269
Elementary and Secondary Schools,100
Gasoline Stations,74
Lessors of Real Estate,72
Grocery Stores,49
Other Amusement and Recreation Industries,42
"General Merchandise Stores, including Warehouse Clubs and Supercenters",40
Child Day Care Services,29
Health and Personal Care Stores,23
Religious Organizations,19
Depository Credit Intermediation,17
"Sporting Goods, Hobby, and Musical Instrument Stores",15
Traveler Accommodation,13
Building Material and Supplies Dealers,10
Department Stores,9
Other Miscellaneous Store Retailers,8
Clothing Stores,8
"Museums, Historical Sites, and Similar Institutions",7
Personal Care Services,5
Electronics and Appliance Stores,5
"Office Supplies, Stationery, and Gift Stores",5
"Colleges, Universities, and Professional Schools",5
Automotive Repair and Maintenance,5
Services to Buildings and Dwellings,5
General Medical and Surgical Hospitals,5
Offices of Physicians,5
Individual and Family Services,4
"Agencies, Brokerages, and Other Insurance Related Activities",4
"Automotive Parts, Accessories, and Tire Stores",4
Automobile Dealers,3
Drinking Places (Alcoholic Beverages),3
Motion Picture and Video Industries,3
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,3
"Beer, Wine, and Liquor Stores",3
Couriers and Express Delivery Services,2
Used Merchandise Stores,2
Florists,2
Junior Colleges,2
Home Furnishings Stores,1
Postal Service,1
Offices of Dentists,1
RV (Recreational Vehicle) Parks and Recreational Camps,1
Gambling Industries,1
Other Schools and Instruction,1
Spectator Sports,1
"Promoters of Performing Arts, Sports, and Similar Events",1
Other Personal Services,1
Support Activities for Air Transportation,1
Book Stores and News Dealers,1
"Executive, Legislative, and Other General Government Support",1
"Other Professional, Scientific, and Technical Services",1
Technical and Trade Schools,1
Performing Arts Companies,1
"Jewelry, Luggage, and Leather Goods Stores",1
Other Information Services,1
Other Leather and Allied Product Manufacturing,1
Shoe Stores,1
Nondepository Credit Intermediation,1
