Restaurants and Other Eating Places,1714
"Museums, Historical Sites, and Similar Institutions",1098
Other Amusement and Recreation Industries,583
Grocery Stores,141
"Sporting Goods, Hobby, and Musical Instrument Stores",140
Child Day Care Services,120
Health and Personal Care Stores,119
Traveler Accommodation,106
Offices of Physicians,85
Other Miscellaneous Store Retailers,83
Elementary and Secondary Schools,76
Clothing Stores,59
Offices of Other Health Practitioners,39
Used Merchandise Stores,39
Florists,39
Book Stores and News Dealers,38
Gasoline Stations,36
"General Merchandise Stores, including Warehouse Clubs and Supercenters",35
Offices of Dentists,34
"Office Supplies, Stationery, and Gift Stores",33
"Beer, Wine, and Liquor Stores",33
Religious Organizations,28
Building Material and Supplies Dealers,24
Specialty Food Stores,24
Drinking Places (Alcoholic Beverages),24
"Colleges, Universities, and Professional Schools",23
"Jewelry, Luggage, and Leather Goods Stores",23
Electronics and Appliance Stores,21
Personal Care Services,19
Lessors of Real Estate,18
Other Personal Services,17
Home Health Care Services,14
Bakeries and Tortilla Manufacturing,12
Automobile Dealers,11
Department Stores,10
Other Information Services,9
Automotive Repair and Maintenance,9
Amusement Parks and Arcades,9
Other Schools and Instruction,9
Postal Service,8
Outpatient Care Centers,8
General Medical and Surgical Hospitals,8
Shoe Stores,8
Furniture Stores,8
Motion Picture and Video Industries,8
Wired and Wireless Telecommunications Carriers,7
Depository Credit Intermediation,7
Home Furnishings Stores,6
Other Motor Vehicle Dealers,6
"Executive, Legislative, and Other General Government Support",6
Rail Transportation,6
"Justice, Public Order, and Safety Activities",6
Support Activities for Road Transportation,6
Support Activities for Air Transportation,6
"Automotive Parts, Accessories, and Tire Stores",5
Medical and Diagnostic Laboratories,4
Spectator Sports,4
"Other Professional, Scientific, and Technical Services",4
Individual and Family Services,3
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2
Gambling Industries,2
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,2
"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",1
"Greenhouse, Nursery, and Floriculture Production",1
Automotive Equipment Rental and Leasing,1
Building Equipment Contractors,1
nan,1
Other Transit and Ground Passenger Transportation,1
Specialized Freight Trucking,1
Nondepository Credit Intermediation,1
Printing and Related Support Activities,1
Beverage Manufacturing,1
nan,1
"Agencies, Brokerages, and Other Insurance Related Activities",1
nan,1
RV (Recreational Vehicle) Parks and Recreational Camps,1
Travel Arrangement and Reservation Services,1
Miscellaneous Durable Goods Merchant Wholesalers,1
"Electric Power Generation, Transmission and Distribution",1
Residential Building Construction,1
Junior Colleges,1
