"Museums, Historical Sites, and Similar Institutions",1733
Restaurants and Other Eating Places,1416
Gasoline Stations,775
Grocery Stores,533
"General Merchandise Stores, including Warehouse Clubs and Supercenters",326
Religious Organizations,265
Elementary and Secondary Schools,237
"Beer, Wine, and Liquor Stores",227
Health and Personal Care Stores,213
Other Amusement and Recreation Industries,177
Electronics and Appliance Stores,147
"Automotive Parts, Accessories, and Tire Stores",141
Lessors of Real Estate,138
Automotive Repair and Maintenance,117
Traveler Accommodation,112
Building Material and Supplies Dealers,106
Depository Credit Intermediation,106
Personal Care Services,105
Support Activities for Air Transportation,94
General Medical and Surgical Hospitals,88
Offices of Physicians,86
Clothing Stores,80
Child Day Care Services,73
Automobile Dealers,66
Other Miscellaneous Store Retailers,60
Wired and Wireless Telecommunications Carriers,55
"Justice, Public Order, and Safety Activities",51
Offices of Other Health Practitioners,44
Support Activities for Road Transportation,38
Furniture Stores,33
Florists,33
"Sporting Goods, Hobby, and Musical Instrument Stores",30
Outpatient Care Centers,28
Home Furnishings Stores,27
"Colleges, Universities, and Professional Schools",27
Drugs and Druggists' Sundries Merchant Wholesalers,25
Used Merchandise Stores,25
Specialty Food Stores,23
Drinking Places (Alcoholic Beverages),23
Home Health Care Services,22
Book Stores and News Dealers,22
Other Information Services,20
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",20
Postal Service,18
Bakeries and Tortilla Manufacturing,18
"Office Supplies, Stationery, and Gift Stores",18
Other Motor Vehicle Dealers,17
Amusement Parks and Arcades,17
Offices of Dentists,14
"Promoters of Performing Arts, Sports, and Similar Events",12
Services to Buildings and Dwellings,11
"Agencies, Brokerages, and Other Insurance Related Activities",11
Psychiatric and Substance Abuse Hospitals,11
Department Stores,10
Miscellaneous Durable Goods Merchant Wholesalers,10
Nondepository Credit Intermediation,10
Other Miscellaneous Manufacturing,9
"Other Professional, Scientific, and Technical Services",8
Waste Treatment and Disposal,7
"Jewelry, Luggage, and Leather Goods Stores",7
"Executive, Legislative, and Other General Government Support",6
Lumber and Other Construction Materials Merchant Wholesalers,6
Spectator Sports,6
"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",6
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,5
Social Advocacy Organizations,5
Shoe Stores,5
Other Schools and Instruction,5
Other Financial Investment Activities,5
